,p_from_mw
0,1580.0964408870343
1,-1072.3254402462078
2,-489.18018945036033
3,-1049.7057993252374
4,-1515.9954393038342
5,1074.637888156021
6,1149.4677236450382
7,450.99400375402683
8,166.43043786072894
9,-737.8010831566545
10,723.0133155241003
11,610.3861261045297
12,-27.76803152195213
13,900.5985160326267
14,327.50503099833674
15,-889.6144731271129
16,1425.3990686390339
17,540.1855915982649
18,908.7261684134517
19,-656.7252432456697
20,299.7792825439639
21,-1212.0687613999817
22,-372.43071809097285
23,409.1325507268539
24,-823.8355339161711
25,208.3505094385015
26,457.2852712900009
27,407.361968175327
28,-651.9327477379024
29,-1025.7274293529886
30,-26.742768239263256
31,1265.1846893196969
32,-202.08214470159055
33,769.3352689641017
34,-84.80086277611522
35,652.0539870386333
36,-1080.8318176915159
37,112.52208437896736
38,320.1034029630826
39,314.8902186668409
40,171.6221268873357
41,140.927732854158
42,-917.8201143348134
43,1313.2777457127245
44,-199.33037785723502
45,-513.4675790381771
46,-679.3476068974361
47,789.4178131228817
48,-135.89885629294693
49,271.8835310381382
50,2675.903087016425
51,-402.47149220753965
52,2245.2362515347
53,2232.77334889066
54,1673.1015144251373
55,2924.2533066183023
56,-793.1776085390496
57,1069.9137268790623
58,-193.00762773432163
59,-79.89575224205907
60,-700.5348316373302
61,613.8066661803343
62,958.4336765790172
63,-419.50557717767293
64,-179.84720897337797
65,-969.0899516370082
66,-2013.327990630292
67,560.5815813261272
68,484.33271251320036
69,880.682085635632
70,1303.7636477372068
71,-607.8601678020536
72,1232.8171995720365
73,-1182.8409244656602
74,220.45901622988862
75,-375.57356907086427
76,-469.92202515049684
77,779.6184825857766
78,-414.83473516987755
79,175.4635493356299
80,438.0152712621346
81,-825.3983076543752
82,830.276418011353
83,-806.654544913767
84,-175.50780488556404
85,-1207.4770697571023
86,-175.03182177459382
87,-448.61872613129674
88,-32.204394604399276
89,-75.8718813630768
90,-649.8425896275276
91,1385.2302567175307
92,-446.2258883353509
93,731.5145205774656
94,-248.3772809402037
95,-2328.464050013729
96,-568.9813383761607
97,880.3486778034228
98,297.789806213991
99,-1208.8594373113958
100,286.53662999430964
101,131.95302569955777
102,380.6844794609387
103,-275.7761326020224
104,-405.51236013630506
105,8.449367187467114
106,-1152.7473337969714
107,-850.5639273153931
108,-290.3436493661569
109,-235.71202136144035
110,843.0389412066806
111,-462.1163341016566
112,609.1815743154505
113,-745.500534969426
114,954.1362757559417
115,1121.5026653516531
116,-216.86240437087503
117,1449.1296115809841
118,-593.6894605445498
119,-779.4540141546935
120,1122.2042111393223
121,70.07730811069244
122,1056.7688042731795
123,575.4861156705367
124,-308.49590014640034
125,-457.1042830064294
126,551.4704828104337
127,-867.5120253068469
128,871.0868947703455
129,-1187.1284372667599
130,22.860138725125722
131,-338.9016812215379
132,-181.13473263205822
133,145.84342464640156
134,18.68841832477589
135,139.56010370943974
136,-359.46630101394146
137,237.91502159591099
138,-685.3974281739493
139,85.68860893067172
140,367.4979300996514
141,-273.76288080763703
142,-387.98352832348326
143,-8.748937165537404
144,928.9601249997278
145,-1699.696101300916
146,869.6037161890762
147,300.50733660207413
148,-429.28998153137746
