,q_from_mvar
0,2304.3362681488056
1,-1395.3704929979197
2,-989.5679040009273
3,-1216.586027271225
4,-1956.291797123085
5,1049.7287750316887
6,831.0807791230245
7,684.3433614084986
8,109.03425135611153
9,-1089.1295270478258
10,1104.4100077781786
11,701.1587805681723
12,-146.28369005804038
13,872.1737158734655
14,369.4821267642421
15,-1206.7664056417689
16,1931.6558114970462
17,572.9522404402651
18,908.115695549014
19,-905.6969429779825
20,40.01652577963296
21,-1650.4700789020321
22,-919.3779687864981
23,609.2699159023504
24,-886.4744261148282
25,-260.47345122333036
26,611.045401240886
27,381.40288329897373
28,-794.2637385764965
29,-1243.091304252076
30,-749.696786385641
31,2190.972636600957
32,-369.3108524058223
33,909.0282871608554
34,-46.43151249488838
35,586.1489472499223
36,-1462.269958213143
37,247.41983027929913
38,402.21275086080317
39,563.440871257162
40,635.4763757408326
41,124.68714007891433
42,53.40713763123989
43,1450.9624082955445
44,-825.0044911215875
45,453.23269574744967
46,-1447.161920248543
47,520.9941368118355
48,-130.04201731227317
49,230.29176431208208
50,3363.371999046899
51,-871.1239297439788
52,2078.9878323097673
53,2642.497470297652
54,1355.5798887262035
55,3398.8651095331934
56,-1361.2836204833816
57,1038.2365317304905
58,-37.78382605472577
59,215.92374869395664
60,-984.3944884664388
61,841.036177653765
62,1298.9541298244048
63,-439.2117933218991
64,-554.2131011357517
65,-1036.371377505973
66,-1999.1033439154287
67,296.50719038104364
68,548.5876746598274
69,1029.3706941754613
70,1422.0203330440581
71,-822.666649982637
72,1476.339731830342
73,-1370.0932296738818
74,206.46551879095506
75,-445.9571541455982
76,-280.4546870684545
77,897.0994454641968
78,-749.8898915939152
79,10.624192254360091
80,653.0926138869731
81,-893.1568813797335
82,984.4577892610745
83,-780.2568098007465
84,161.83656829547124
85,-1943.1341296973637
86,-301.7394594721822
87,-725.4359740670338
88,-83.15494001935839
89,-226.25987969378969
90,-866.671908580003
91,2182.5701614299164
92,-653.4932435907149
93,765.1599588899039
94,-321.5292538688621
95,-2359.76517580324
96,-537.2982850168723
97,841.837563219003
98,55.07949285472937
99,-1217.2811392589133
100,285.57909990717206
101,-108.5852820138177
102,423.4669704652462
103,-150.3639851996502
104,-425.8587117754861
105,-105.36870606630282
106,-1190.935406895081
107,-838.5104185654224
108,-296.5751712986746
109,-241.96807913513547
110,627.1121154171379
111,-646.6380570394646
112,447.6012332528367
113,-655.911249539841
114,954.4234616254137
115,1252.974766013163
116,-522.8294806042362
117,1687.2298596513542
118,-603.6166331359948
119,-630.5876501734341
120,962.9067252474912
121,114.4700815454001
122,736.4968365733613
123,673.137864659204
124,-147.48756665087492
125,-674.450177525633
126,361.83365643479306
127,-717.1117687987843
128,616.3638448621949
129,-971.6419572261583
130,3.860028567639457
131,-359.1381409316375
132,-100.37814285315997
133,45.197857559148346
134,3.821112221955547
135,-12.362066526422602
136,-490.36817494923224
137,146.81559251651439
138,-500.0562705810203
139,139.01570427639209
140,362.22962649590306
141,-376.3023415259905
142,-382.9413155582012
143,-223.0464190972131
144,1005.3133599312152
145,-1653.7004580793093
146,816.2807737743173
147,354.655016143948
148,-500.7960203255988
149,-750.9896002286441
150,-1049.2481287914525
151,1136.4318277960822
152,438.77993100691157
153,-510.6186745053406
154,546.9157014404178
155,18.466818806243346
156,-37.30291043384051
157,-461.2470511047338
158,-85.02240706213773
159,-113.66997459708631
160,-136.26473911163546
161,20.54052470295634
162,-71.88609947035607
163,809.9864140188702
164,-237.88693431937585
165,-22.688807032219497
166,-1138.8544892269158
167,-683.0675210142882
168,911.9697464465784
169,108.47657595999499
170,432.0460413755518
171,-845.5954974776743
172,-775.7934803439806
173,-147.40646664239978
174,-204.02486374539228
175,-441.78487609550325
176,65.91596796147874
177,-24.033932334199257
178,-26.238866354889627
179,-409.34173998169746
180,-902.4501332897668
181,-480.93040676636986
182,-371.99221490459945
183,1160.2617565101211
184,-340.73147153623563
185,139.86505590028446
186,556.403855955638
187,147.84345860691894
188,-62.875088398434684
189,-319.87151965276166
190,40.46531568993116
191,-285.5668329983519
192,857.4130867377756
193,65.25848656495731
194,225.8099229789994
195,632.230312452884
196,554.6681516912756
197,1097.1057780717745
198,401.91303726164165
199,-1398.5374257883584
200,-81.77185562380068
201,153.5518058028885
202,214.6200454173621
203,-414.30800834318404
204,249.50091950777085
205,474.27443229189333
206,-126.98661218013542
207,-192.43365634307384
208,114.28332161418761
209,189.78628101591124
210,593.3201924904562
211,744.1198127770949
212,-70.82559289252963
213,513.4400813520194
214,-651.1211095967047
215,-563.4209527756461
216,34.390004287301394
217,-607.0131726925812
218,-1083.401100173955
219,-607.1507902987587
220,-60.77268141319828
221,-191.61693809903485
222,181.67743690092712
223,-341.56224872498404
224,1050.2511613535662
225,-1094.5365821467285
226,540.0641730188971
227,-1356.6975923158366
228,1631.5242628314809
229,1346.9432892947177
230,-1994.342567562069
231,717.2208990665083
232,-230.0104167416615
233,507.81135491078805
234,-836.6682736013546
235,1682.7262766448962
236,-614.7171784987313
237,-1106.0221845244776
238,1702.1339953303464
239,-1653.2641485519189
240,-562.3300297959286
241,-702.6619513308942
242,-898.4503370272014
243,-1201.4106547718766
244,-1783.9842756909838
245,-111.63296239183182
246,-467.3472922196379
247,-310.47104254390433
248,-3174.272153790871
249,-1452.1643824021594
250,-42.81821876760606
251,-397.5984674529435
252,628.1148233458919
253,-28.842813371213822
254,41.77778318106567
255,158.82775820180717
256,87.32370356899702
257,3230.2079908046358
258,3698.52085508404
259,-104.46512282891293
260,-57.22132631358679
261,816.9038798077419
262,2034.5265429604704
263,620.8737842263331
